market_cap,circulating_market_cap,anon_1,anon_2,net_profit_to_total_revenue,inc_revenue_year_on_year,development_expenditure,pe_ratio,pb_ratio,inc_net_profit_year_on_year,dividend_payable,roe,roa,anon_3,gross_profit_margin,anon_4,pcf_ratio,ps_ratio,monthreturn
1000.8977,606.6629,91541995520.0,1.05274809,31.23,27.49,0.0,7.0622,1.0934,16.8,0.0,4.37,0.22,0.99787976,0.0,0.00182868,-1.7001,2.2983,1.0941851499908533
258.6787,223.125,24668372992.0,1.05883491,41.99,24.5,0.0,5.7258,1.0486,19.01,0.0,5.57,0.31,1.00793121,0.0,0.00525726,0.8436,2.2487,0.9866220141047563
1885.866,1508.6927,189026009088.0,1.05764014,43.05,21.97,0.0,5.1839,1.0101,13.04,49000000.0,5.61,0.31,0.99731435,0.0,0.00247517,-2.63,2.1079,0.9574678158469372
667.8483,486.5765,82666979328.0,1.05803289,37.58,11.07,0.0,4.7634,0.8135,16.71,0.0,5.44,0.29,0.99989186,0.0,0.0049577,0.4702,1.5702,1.0359999419029742
2643.7275,2105.2195,191206785024.0,1.05940154,41.51,11.32,0.0,6.3773,1.4281,21.22,0.0,6.57,0.36,0.98463357,0.0,0.00399755,-4.6938,2.4046,0.9259657056182985
2706.0894,2213.4856,212498120704.0,1.05905792,39.89,15.57,0.0,5.6178,1.1285,12.93,0.0,6.21,0.36,0.99852636,0.0,0.00517054,-2.4333,2.2494,0.9645852424535569
246.7183,246.7183,26061766656.0,1.06787645,46.49,3.92,0.0,5.8296,0.9544,5.32,0.0,4.68,0.31,0.99010268,0.0,0.00523925,10.8253,2.6063,0.9831528508424385
2135.7668,1813.735,185560203264.0,1.0547098,37.82,29.01,0.0,5.4409,1.1588,21.07,0.0,5.83,0.3,1.00077985,0.0,0.00182625,-1.5485,2.1387,0.9732382299415835
707.5328,600.8352,76144181248.0,1.06760514,47.24,11.03,0.0,5.4116,0.9316,21.18,0.0,4.83,0.31,0.99883391,0.0,0.00364753,6.5199,2.3395,0.9527363254396123
8087.3735,7075.6719,791230283776.0,1.05890913,39.21,12.41,0.0,5.1529,1.0241,22.32,50830000128.0,5.71,0.32,0.99441969,0.0,0.00974379,-1.7626,1.8090000000000002,1.0200803140846655
3156.1659999999997,1390.1348,398157938688.0,1.07484954,40.28,14.81,0.0,5.0815,0.7963,12.68,0.0,4.31,0.3,0.99977458,0.0,0.00664527,-2.6199,1.9912,0.9505881819904277
13461.9336,10129.043,1175091937280.0,1.06696344,46.18,12.18,0.0,5.3058,1.1491,12.6,0.0,5.88,0.38,0.99618799,0.0,0.00615654,-2.8302,2.3615,0.9869791959158081
1144.3046,1144.3046,127066177536.0,1.05420676,40.96,10.5,0.0,4.4719999999999995,0.902,14.73,0.0,5.58,0.29,0.99831541,0.0,0.0048127,-9.9835,1.8101,0.9964664128764317
10625.4668,407.7304,1000511373312.0,1.07219372,47.89,7.24,0.0,5.1428,1.0707,9.78,0.0,6.03,0.41,0.99470634,0.0,0.00807142,-33.7606,2.1902,1.0164705987317186
7788.2427,5455.1812,886332981248.0,1.07165255,42.29,18.83,0.0,5.2386,0.9163,16.96,0.0,4.77,0.32,0.99589813,0.0,0.01136094,-1.206,1.984,1.0035842488575761
1782.5972,1215.5868,215977033728.0,1.06705345,43.79,14.85,0.0,5.5619,0.8444,3.66,0.0,5.33,0.35,0.99556333,0.0,0.00341553,-6.7321,1.8736,1.041994736668497
1598.2791,1318.5129,150880124928.0,1.06235675,22.99,39.02,0.0,7.4984,1.0593,18.69,0.0,4.14,0.24,0.99974433,0.0,0.00143551,1.0246,1.8748,1.0957923431520815
482.4045,426.7823,38104203264.0,1.06153696,39.24,22.35,0.0,7.9172,1.2690000000000001,14.08,0.0,4.87,0.29,0.99951527,0.0,0.00508944,-2.3243,2.8261,1.202910420611748
2965.9021,2965.9021,288995934208.0,1.0669787,33.99,19.94,0.0,6.144,1.1596,6.29,13000000.0,4.45,0.29,0.98762846,0.0,0.00327799,8.1501,2.1996,1.1056603318093339
1118.7794,815.113,111797993472.0,1.06192306,33.37,9.47,0.0,6.0234,1.0069,3.95,0.0,4.74,0.28,0.99752757,0.0,0.00528992,1.0,1.9684,1.0592168572285119
3137.74,2541.4521,288312786944.0,1.071849,33.53,20.57,0.0,6.8578,1.1195,4.13,0.0,5.02,0.33,0.98968665,0.0,0.00819168,-7.211,2.131,1.0220930669845176
4625.3198,3783.3484,332918161408.0,1.06810506,29.72,23.04,0.0,7.9163,1.3929,2.02,0.0,4.75,0.31,0.99270113,0.0,0.00549009,-3.2582,2.4902,0.9890948297239901
521.0499,459.5909,44331171840.0,1.0645314,30.95,46.02,0.0,8.2581,1.232,24.05,0.0,4.6,0.26,0.99815913,0.0,0.00577805,53.5568,2.6755,1.1434108326285064
