,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601888.SH,20230619,129.5,129.73,126.76,127.3,130.16,-2.86,-2.1973,169945.93,2172702.862
1,601888.SH,20230616,130.5,131.0,127.28,130.16,130.0,0.16,0.1231,275685.71,3558988.188
2,601888.SH,20230615,121.38,130.9,120.2,130.0,121.13,8.87,7.3227,457500.11,5788862.155
3,601888.SH,20230614,121.47,124.31,120.33,121.13,120.8,0.33,0.2732,251451.67,3076538.873
4,601888.SH,20230613,119.5,121.2,118.6,120.8,120.01,0.79,0.6583,142710.83,1711753.043
5,601888.SH,20230612,116.0,121.8,115.0,120.01,116.8,3.21,2.7483,226284.22,2689565.866
6,601888.SH,20230609,117.99,119.37,115.96,116.8,117.58,-0.78,-0.6634,160627.27,1886286.102
7,601888.SH,20230608,116.78,118.88,115.6,117.58,116.58,1.0,0.8578,155788.98,1821550.978
8,601888.SH,20230607,118.44,118.97,116.11,116.58,117.71,-1.13,-0.96,152713.5,1790341.312
9,601888.SH,20230606,120.19,121.3,116.87,117.71,119.55,-1.84,-1.5391,188701.51,2245338.58
10,601888.SH,20230605,122.92,122.92,119.54,119.55,122.81,-3.26,-2.6545,145230.15,1747528.323
11,601888.SH,20230602,122.0,123.94,120.86,122.81,120.95,1.86,1.5378,187072.93,2293208.482
12,601888.SH,20230601,123.48,124.02,120.8,120.95,123.1,-2.15,-1.7465,197160.48,2409214.423
13,601888.SH,20230531,126.0,126.44,122.08,123.1,127.8,-4.7,-3.6776,241034.41,2974548.552
14,601888.SH,20230530,127.87,129.23,125.21,127.8,127.44,0.36,0.2825,121892.11,1551244.055
15,601888.SH,20230529,130.7,131.14,127.39,127.44,130.7,-3.26,-2.4943,134932.51,1733127.345
16,601888.SH,20230526,131.65,132.25,128.88,130.7,131.4,-0.7,-0.5327,109002.42,1420327.024
17,601888.SH,20230525,132.23,133.5,130.67,131.4,133.51,-2.11,-1.5804,126885.79,1672087.716
18,601888.SH,20230524,136.0,136.0,133.51,133.51,136.51,-3.0,-2.1976,104949.67,1412311.803
19,601888.SH,20230523,137.29,138.8,136.5,136.51,138.87,-2.36,-1.6994,113881.45,1567829.765
20,601888.SH,20230522,134.0,140.57,132.53,138.87,135.16,3.71,2.7449,225064.81,3096653.097
21,601888.SH,20230519,134.35,135.82,131.51,135.16,133.88,1.28,0.9561,194958.08,2605367.417
22,601888.SH,20230518,136.0,136.9,133.07,133.88,136.44,-2.56,-1.8763,146812.88,1981037.051
23,601888.SH,20230517,138.5,139.1,135.67,136.44,138.78,-2.34,-1.6861,135995.72,1861414.183
24,601888.SH,20230516,142.0,142.0,137.88,138.78,142.0,-3.22,-2.2676,167254.29,2325536.055
